hour,ticks,days,pct_smooth_mean,pct_slow_mean,pct_jam_mean,pct_congested_mean,speed_mean,speed_median_of_means
0,39,10,87.39,12.11,0.5,12.61,40.0,40.08
1,40,10,89.08,10.6,0.32,10.92,40.76,40.84
2,40,10,90.12,9.41,0.47,9.88,41.38,41.39
3,40,10,91.49,8.32,0.19,8.51,42.01,42.0
4,39,10,91.99,7.75,0.26,8.01,42.22,42.23
5,40,10,91.47,8.26,0.28,8.53,41.87,41.85
6,39,10,88.75,10.64,0.6,11.25,40.56,40.52
7,41,11,81.53,16.86,1.61,18.47,38.24,38.49
8,44,11,68.15,27.84,4.01,31.85,34.32,33.76
9,39,10,65.65,30.04,4.3,34.35,33.43,32.93
10,39,10,62.06,33.34,4.6,37.94,32.57,32.21
11,40,10,60.08,34.24,5.68,39.92,32.22,31.89
12,40,10,60.79,33.87,5.34,39.21,32.51,32.42
13,40,10,60.42,34.45,5.13,39.58,32.28,32.39
14,39,10,58.45,36.06,5.49,41.55,31.72,31.63
15,39,10,57.73,36.24,6.03,42.27,31.44,31.31
16,40,11,55.09,37.22,7.68,44.91,30.74,30.5
17,44,11,51.44,38.47,10.09,48.56,29.83,29.26
18,39,10,49.32,35.79,14.89,50.68,29.04,27.83
19,40,10,63.53,29.98,6.48,36.47,32.96,33.88
20,48,11,72.4,25.35,2.25,27.6,35.14,35.19
21,45,11,76.17,21.8,2.02,23.83,36.09,36.01
22,44,11,79.6,19.12,1.28,20.4,37.16,37.07
23,40,10,85.04,14.02,0.94,14.96,39.07,38.85
