hour,mean_pct,median_pct,ticks,days
0,51.13747676880667,53.54379977246872,87,13
1,50.004860436397394,53.31626548138894,90,13
2,50.68879708922994,53.59743554180044,90,13
3,51.80384597886242,54.05619729716205,90,13
4,53.14347196263081,54.87664304505662,90,13
5,55.49444163188654,56.8218884227384,90,13
6,59.41593531422986,60.548349226215734,90,13
7,68.50681567097058,67.10821117550933,110,16
8,75.22621993754974,76.20655111175256,144,19
9,76.59792316182298,77.73173162671144,115,19
10,78.36802695683383,79.59269559789992,114,19
11,79.27755919461872,81.15033245040273,113,19
12,79.31266296935553,81.5993013972056,113,19
13,78.77545066138264,81.42791198645945,115,20
14,77.65597930795859,81.16748512254992,118,20
15,76.36852871350882,80.33955083528073,122,20
16,73.62903624037094,76.66404405979543,113,20
17,71.60245189589585,75.22095792537709,103,19
18,68.9485546936139,71.58445057681661,90,16
19,63.90629782007086,66.22496736770593,90,16
20,57.6453854255926,60.93392706703574,103,19
21,52.314450806776115,56.99308269553773,102,18
22,49.763341777485465,55.34334290130272,91,15
23,50.96617231984103,54.379199580528365,78,12
