hour,ticks,days,pct_smooth_mean,pct_slow_mean,pct_jam_mean,pct_congested_mean,speed_mean,speed_median_of_means
0,8,2,87.76,11.61,0.63,12.24,40.2,40.1
1,8,2,88.73,10.84,0.42,11.27,40.73,40.76
2,8,2,90.55,9.02,0.43,9.45,41.48,41.35
3,8,2,91.5,8.29,0.21,8.5,42.02,41.97
4,8,2,91.86,7.88,0.26,8.14,42.2,42.15
5,8,2,91.7,8.01,0.29,8.3,41.92,41.9
6,8,2,88.79,10.51,0.7,11.21,40.45,40.31
7,9,3,78.88,18.84,2.27,21.12,37.34,37.3
8,13,3,64.86,30.65,4.49,35.14,33.44,32.72
9,12,3,62.24,32.55,5.2,37.76,32.53,31.95
10,12,3,59.32,35.26,5.42,40.68,31.9,31.76
11,12,3,58.07,35.12,6.81,41.93,31.7,31.76
12,12,3,58.58,35.15,6.27,41.42,31.88,32.4
13,12,3,57.52,35.77,6.71,42.48,31.55,32.03
14,12,3,56.2,37.21,6.58,43.8,31.1,31.12
15,12,3,54.73,38.76,6.5,45.27,30.82,30.92
16,13,4,52.68,37.76,9.56,47.32,30.12,30.46
17,16,4,48.72,39.31,11.97,51.28,29.06,28.96
18,11,3,47.1,35.54,17.36,52.9,28.42,27.19
19,12,3,58.87,32.42,8.71,41.13,31.88,32.67
20,18,4,71.34,26.35,2.31,28.66,34.94,34.98
21,13,3,75.37,22.57,2.05,24.63,35.88,35.79
22,12,3,78.77,19.82,1.41,21.22,36.82,36.72
23,8,2,85.76,13.4,0.85,14.24,39.86,38.92
