statNm,statId,chgerId,chgerType,addr,addrDetail,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,floorNum,floorType,maker,fetchedAt,complex_id,complex_name,match_verdict
대구 두류역서한포레스트,HY001928,12,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,20260802131602,20260802013109,20260802131551,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,13,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,20260802194002,20260731111801,20260731112233,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,14,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,20260731112903,20260731112439,20260731112851,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,15,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,20260802194002,20260731113051,20260731113500,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,16,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,20260802194102,20260731113609,20260731114022,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,17,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,20260803103302,20260731151940,20260731155051,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,18,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,20260802194102,20260731114749,20260731115229,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,19,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,1,20260802194002,20260801155758,20260801205424,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,20,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,1,20260802194002,20260731130448,20260731130855,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,21,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,20260802195602,20260731131157,20260731131610,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
