hour,mean_pct,median_pct,ticks,days
0,50.24963314353512,53.33515210295592,76,11
1,48.897719588576045,52.1319205537918,78,11
2,49.651249523905804,52.628149072312624,78,11
3,50.86554755752976,53.4920029075517,78,11
4,52.29090421105692,54.43258662503883,78,11
5,54.78600067735772,56.40911762998229,78,11
6,58.90327412929819,59.876662306931536,78,11
7,68.62547673863685,67.0370212138147,98,14
8,75.34842555331412,76.5302999853844,132,17
9,76.41676096595214,77.63387297633872,103,17
10,78.10019118134655,79.25997084742329,102,17
11,78.96285406378723,81.06137458787725,101,17
12,78.95277388562316,81.5993013972056,101,17
13,78.36699274454661,81.28381476386978,103,18
14,77.15178783300357,80.70747967405508,106,18
15,75.81421760033018,78.65466776979505,110,18
16,72.82582119878924,75.962446239379,101,18
17,70.73488465688126,74.53211009174312,91,17
18,68.16479711278436,70.84386116226284,78,14
19,63.164260567864474,65.36443163633368,78,14
20,56.766187840617384,59.048645734180056,92,17
21,51.10548181508607,54.441709483558654,90,16
22,48.37262452672381,54.0934802024412,79,13
23,49.75476368071006,54.05178486609887,66,10
