hour,public_pct,public_ticks,special_pct,special_ticks,apt_name_pct,apt_ticks
0,73.1495672540672,76,40.06885030183683,76,40.9114331606435,76
1,72.72071443925306,78,40.65288479685301,78,41.869182301984125,78
2,73.54026028691536,78,41.88735778710004,78,43.127862833030214,78
3,74.58337947170756,78,43.2103361181405,78,44.75098015552297,78
4,75.65367570546482,78,44.78221931728995,78,46.40392466861754,78
5,76.60546890783473,78,47.86701186945358,78,49.530042395393025,78
6,77.33699296081586,78,53.164840807344625,78,54.7190365998446,78
7,80.1288633979108,98,64.45000742160101,98,65.18362397575619,98
8,80.2373817651971,132,73.55181883952613,132,74.02745960878156,132
9,78.16810105305173,103,76.09683168270416,103,76.71733604718314,103
10,77.85985629042612,102,78.38702158906307,102,78.78884281468015,102
11,78.09484325058736,101,79.37703067485864,101,79.43086418211145,101
12,77.97072247708601,101,79.3424363454996,101,79.42497521511925,101
13,77.85811538252602,103,78.32466692708277,103,78.66209887191309,103
14,77.06174001148595,106,77.01448780749872,106,77.5033390088925,106
15,76.65545728784488,110,75.45418742746993,110,76.1711650867892,110
16,75.54465425602598,101,71.33660884947865,101,72.00066603803512,101
17,75.68011474123564,91,69.01280826726477,91,69.76516024578437,91
18,75.9482684704806,78,65.68467560228214,78,66.88052047725752,78
19,73.79983577149947,78,59.83637326692935,78,61.28352967184052,78
20,72.01837847280001,92,49.963650458211156,92,51.504773389481265,92
21,69.78971330336375,90,44.51892691532152,90,45.70609315696373,90
22,69.39711348336579,79,41.51865308281747,79,42.601956262507294,79
23,70.86423804227373,66,43.16765739004275,66,44.31528305069895,66
