incidentId,incidenteTypeCd,incidenteSubTypeCd,addressJibun,addressJibunCd,addressNew,linkId,locationDataX,locationDataY,locationTypeCd,locationData,incidenteTrafficCd,incidenteGradeCd,incidentTitle,incTrafficCode,incidentRegionCd,startDate,endDate,lane,roadName,sourceCode,controlType,important,updateDate,traffic_source,fetchedAt,type_nm
L93170968574,2,255,대구 북구 학정동 866-5,2723012000,대구 북구 구리로 43,1540105201,128.5589131,35.9463908,C0101,,A0502,A0402,[공사] 구리로 경북가축위생시험소 에서 동천동959 방향 1차로 도로공사 주의운전,A0502,29,2026년 07월 21일  09시 49분,2026년 07월 21일  17시 19분,1차로,구리로,P000,0,0,2026년 07월 21일  09시 50분,utic,2026-07-21T17:04:11.172771+09:00,공사·작업(2)
L93170968835,2,255,대구 북구 동호동 187-5,2723011900,대구 북구 팔거천동로 386,1540333400,128.5596127,35.9561773,C0101,,A0502,A0402,[공사] 팔거천동로 동호동1875 에서 동천동959 방향 1차로 도로공사 주의운전,A0502,29,2026년 07월 21일  09시 57분,2026년 07월 21일  17시 27분,1차로,팔거천동로,P000,0,0,2026년 07월 21일  10시 01분,utic,2026-07-21T17:19:14.660959+09:00,공사·작업(2)
L93170982710,2,13,대구 서구 내당동 341-1,2717010100,대구 서구 평리로 322-1,1520025700,128.5586357390315,35.86406376006824,C0101,,A0502,A0402,[공사] 평리로 남평리네거리 에서 평강약국 방향 2차로 노변 유지보수 주의운전,A0502,29,2026년 07월 21일  14시 14분,2026년 07월 21일  17시 25분,2차로,평리로,P000,0,0,2026년 07월 21일  14시 16분,utic,2026-07-21T17:19:14.660959+09:00,공사·작업(2)
L93170961656,2,6,대구 중구 사일동 9-6,2711013600,대구 중구 중앙대로 432,1500019100,128.594260601513,35.87156716322689,C0101,,A0502,A0402,[공사] 중앙대로 중앙네거리 에서 중앙로역3번출구 방향 2차로 유지보수 주의운전 추가내용,A0502,29,2026년 07월 21일  06시 59분,2026년 07월 21일  17시 29분,2차로,중앙대로,P000,0,0,2026년 07월 21일  07시 13분,utic,2026-07-21T17:19:14.660959+09:00,공사·작업(2)
L93170968713,2,255,대구 북구 읍내동 1234-1,2723011800,대구 북구 칠곡중앙대로 746,1540104702,128.5554239,35.9561272,C0101,,A0502,A0402,[공사] 칠곡중앙대로136길 동호동1875 에서 진흥교 방향 1차로 도로공사 주의운전,A0502,29,2026년 07월 21일  09시 53분,2026년 07월 21일  17시 23분,1차로,칠곡중앙대로136길,P000,0,0,2026년 07월 21일  09시 54분,utic,2026-07-21T17:19:14.660959+09:00,공사·작업(2)
L93170990087,1,8,대구 북구 칠성동2가 398-1,2723010200,대구 북구 칠성시장로 111,1540025500,128.60086367060686,35.88388804435458,C0101,,A0502,A0402,[사고] 신천대로 칠성고가차도 에서 경대교지하차도 방향 2차로 고장 차량 주의운전,A0502,29,2026년 07월 21일  16시 51분,2026년 07월 21일  17시 21분,2차로,신천대로,W013,0,0,2026년 07월 21일  16시 54분,utic,2026-07-21T17:19:14.660959+09:00,사고·기타(1)
L93170990759,1,255,대구 수성구 범어동 835,2726010100,대구 수성구 달구벌대로 지하 2396,1550007602,128.63850913975543,35.85891749559096,C0101,,A0502,A0402,[사고] 달구벌대로 남부빌딩 에서 다빈치커피범어로데오 방향 3차로 교통사고 주의운전,A0502,29,2026년 07월 21일  17시 03분,2026년 07월 21일  17시 33분,3차로,달구벌대로,P000,0,0,2026년 07월 21일  17시 05분,utic,2026-07-21T17:19:14.660959+09:00,사고·기타(1)
L93170982637,2,255,대구 수성구 연호동 154-5,2726012300,대구 수성구 달구벌대로 지하 2950,1550320204,128.67525301325097,35.84495678997401,C0101,,A0502,A0402,[공사] 달구벌대로 연호동15410 에서 연호네거리 방향 5차로 도로공사 주의운전,A0502,29,2026년 07월 21일  14시 12분,2026년 07월 21일  17시 42분,5차로,달구벌대로,P000,0,0,2026년 07월 21일  14시 14분,utic,2026-07-21T17:34:18.477421+09:00,공사·작업(2)
L93170982486,2,255,대구 수성구 대흥동 865,2726012700,대구 수성구 알파시티1로32길 28-17,1550067100,128.68426602364747,35.836510687780375,C0101,,A0502,A0402,"[공사] 월드컵로 경기장네거리 에서 수성IC앞교차로 방향 4,5차로 도로공사 주의운전",A0502,29,2026년 07월 21일  14시 09분,2026년 07월 21일  17시 39분,"4,5차로",월드컵로,P000,0,0,2026년 07월 21일  14시 10분,utic,2026-07-21T17:34:18.477421+09:00,공사·작업(2)
L93170973365,2,2,대구 수성구 만촌동 1310-2,2726010200,대구 수성구 달구벌대로 2599,1550009401,128.64657859343046,35.859300234630375,C0101,,A0502,A0402,"[공사] 무열로 만촌네거리 에서 만촌2동행정복지센터 방향 4,5차로 지하 시설 작업 주의운전",A0502,29,2026년 07월 21일  11시 24분,2026년 07월 21일  17시 54분,"4,5차로",무열로,P000,0,0,2026년 07월 21일  11시 38분,utic,2026-07-21T17:34:18.477421+09:00,공사·작업(2)
