statId,statNm,addr,lat,lng,chargers,parkingFree_Y,parkingFree_N,parkingFree_mode
PW014472,신암청아람아파트 입주자대표회의,대구광역시 동구 신암로20길 39,35.879366489,128.61183088,8,8,0,Y
PW014511,한국은행대구경북본부(SP),대구광역시 중구 동덕로 145,35.867939,128.6033679,3,3,0,Y
PW014536,태왕아너스스카이 입주자대표회의,대구광역시 중구 달구벌대로 1975,35.865411666,128.57923751,3,3,0,Y
PW014547,팔공2차보성타운,대구광역시 동구 팔공로101길 55,35.9400914,128.6423505,12,12,0,Y
PW014556,대곡강산타운(SP),대구광역시 달서구 도원로 45,35.805442674,128.53588453,10,10,0,Y
PW014568,안심역우방아이유쉘아파트 관리사무소,대구광역시 동구 금강로21길 10,35.866066717,128.73353771,11,11,0,Y
PW014572,대곡주공9단지아람입주자대표23,대구광역시 달서구 한실로 30,35.8059207,128.53079,6,6,0,Y
PW014573,월성서한이다음입주자대표회의,대구광역시 달서구 학산로 15,35.826938635,128.53027637,7,7,0,Y
PW014578,상리정비현대서비스주식회사(SP),대구광역시 달성군 논공읍 비슬로262길 21,35.745919018,128.41210266,2,2,0,Y
PW014580,대구월배2차IPARK23,대구광역시 달서구 월배로5길 76,35.819460387,128.51371016,16,16,0,Y
PW014581,대구월배2차IPARK(SP),대구광역시 달서구 월배로5길 76,35.819460387,128.51371016,5,5,0,Y
PW014590,칠곡한신아파트 입주자대표회의,대구광역시 북구 관음로 50,35.9344505,128.5421428,10,10,0,Y
PW014624,화원이진캐스빌 입주자대표회의,대구광역시 달성군 화원읍 비슬로 2545,35.8039095,128.4950741,12,12,0,Y
PW014647,천내보성타운관리소(SP),대구광역시 달성군 화원읍 화원로 37,35.807197031,128.49820930,2,2,0,Y
PW014650,동성로하우스디어반 관리사무소,대구광역시 중구 국채보상로 570,35.8705772,128.593249,4,4,0,Y
PW014666,이안센트럴D 입주자대표회의,대구광역시 동구 동대구로 577,35.8808525,128.6235554,14,14,0,Y
