pkltId,pkltNm,lat,lng,roadNmAddr,lotnoAddr,유료무료,요금수준,일반1시간요금,일반1일요금,결제수단,collected_at
152-1-000093,슈퍼섬유융합소재센터 남측,35.867179,128.545246,,대구광역시 서구 중리동 1086,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000094,염색공단로,35.88711817,128.55042084,,대구광역시 서구 비산동 1676-12,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000095,염색공단로 11길,35.884213,128.55325,,대구광역시 서구 비산동 2009-64,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000096,염색공단로 13길,35.882906,128.553967,,대구광역시 서구 비산동 2009-64,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000097,염색공단로 21길,35.883574,128.545074,,대구광역시 서구 비산동 3194-3,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000098,염색공단로 5길,35.888055,128.553772,,대구광역시 서구 비산동 1809-3,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000099,염색공단중앙로 12길,35.885588,128.552461,,대구광역시 서구 비산동 2009-57,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000100,염색공단중앙로 14길,35.886739,128.551805,,대구광역시 서구 비산동 2009-7,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000101,염색공단중앙로 21길,35.887254,128.54547,,대구광역시 서구 비산동 2041-34,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000102,염색공단중앙로 22길,35.889185,128.550507,,대구광역시 서구 비산동 2006-62,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000103,염색공단중앙로 23길,35.888139,128.544961,,대구광역시 서구 비산동 2041-120,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000104,염색공단천로 11길,35.887098,128.549383,,대구광역시 서구 비산동 2024-24,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000105,염색공단천로 19길,35.883629,128.546367,,대구광역시 서구 비산동 3194-4,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000106,염색공단천로 3길,35.89005,128.552611,,대구광역시 서구 비산동 1790-7,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000107,염색공단천로 7길,35.883135,128.554061,,대구광역시 서구 비산동 2008-51,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000108,와룡로 66길,35.862289,128.544954,,대구광역시 서구 중리동 1139-1,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000109,와룡로 70길,35.863715,128.538681,,대구광역시 서구 중리동 1119-1,무료,일반주차장,,,,2026-08-03 12:10:21
152-1-000110,장산로,35.869773,128.531916,,대구광역시 서구 이현동 45-6,무료,일반주차장,,,,2026-08-03 12:10:21
