pkltId,pkltNm,lat,lng,roadNmAddr,유료무료
150-2-000019,남산공영주차장,35.858864,128.588923,,유료
150-2-000021,노외(공한지),35.85768,128.592308,,무료
150-2-000022,노외(공한지),35.864393,128.590618,,무료
150-2-000023,노외(공한지),35.863654,128.590975,,무료
150-2-000025,노외(공한지),35.861262,128.582813,,무료
150-2-000026,남산향수길 공영주차장,35.86317,128.587394,대구광역시 중구 명륜로12길 47,유료
150-2-000028,노외(공한지),35.860059,128.57853,,무료
150-2-000029,노외(공한지),35.859855,128.578936,,무료
150-2-000030,시청광장(부설) 공영주차장,35.870887,128.601349,대구광역시 중구 국채보상로131길 17,유료
150-2-000032,율하동 1177 공한지주차장,35.86627261,128.69098007,,
150-2-000033,측백향 커뮤니티센터 주차장,35.9189585,128.6621228,대구 동구 도평로 245,
150-2-000034,노외(공한지),35.860746,128.605857,,
150-2-000035,노외(공한지),35.861009,128.595168,,
150-2-000036,노외(공한지),35.866756,128.580218,,
150-2-000037,노외(공한지),35.86033,128.606033,,
150-2-000038,노외(공한지),35.860173,128.606153,,
150-3-000001,군위군보건소 주차장,36.22914796,128.56945269,대구 군위군 군위읍 군청로 70,
150-4-000113,동아백화점 쇼핑점 주차장,35.86633351,128.59184159,대구 중구 달구벌대로 2085,유료
151-1-000001,강동로(1),35.868262,128.622976,,무료
151-1-000002,강동로(2),35.868418,128.623307,,무료
151-1-000003,공항3차아파트 (남),35.910076,128.646635,,무료
151-1-000004,공항3차아파트 (북),35.91077,128.646657,,무료
151-1-000005,공항3차아파트 (서),35.910534,128.646054,,무료
151-1-000006,국채보상로171길,35.868089,128.622478,,무료
151-1-000007,현대아울렛앞 노상공영,35.86975,128.627247,,유료
151-1-000008,대구228기념 학생도서관 앞,35.889711,128.633847,,무료
151-1-000009,대구관광 고등학교 앞,35.890329,128.63257,,무료
151-1-000010,대구동부경찰서 (1),35.873693,128.719986,,무료
151-1-000011,대구동부경찰서 (2),35.87369,128.72006,,무료
151-1-000012,대구동부고용복지플러스 센터 앞,35.881231,128.616553,,무료
151-1-000013,대구동신초등학교 앞,35.876778,128.615581,,무료
151-1-000014,동내로,35.873058,128.733846,,무료
151-1-000015,동대구로 (1),35.881112,128.626585,,무료
151-1-000016,동대구로 (2),35.873239,128.625085,,무료
151-1-000017,동대구로1 공영주차장,35.875326,128.626094,,유료
