pklt_id,observations,occupancy_rate_mean,occupancy_rate_median,remaining_spaces_mean
150-4-000113,977,100.0,100.0,0.0
151-2-000004,977,99.48822927328557,100.0,1.1770726714431934
151-2-000047,977,97.21180143295804,98.62,6.077789150460593
151-2-000046,977,94.09673490276356,94.94,4.663254861821904
155-2-000064,977,92.64863868986694,93.33,3.308085977482088
154-4-000022,977,89.4378812691914,100.0,40.13613101330604
156-2-000084,977,80.82294779938587,79.28,21.286591606960084
151-2-000006,977,79.62536335721596,78.12,6.519959058341863
152-2-000044,977,78.37135107471852,87.41,30.92937563971341
151-2-000020,977,77.9214636642784,100.0,5.298874104401229
150-2-000030,977,74.22157625383828,74.66,37.63664278403275
155-2-000057,977,74.02036847492323,74.19,16.10747185261003
156-2-000085,977,71.07708290685773,70.23,37.89048106448311
151-2-000040,977,71.01080859774821,72.22,10.436028659160696
155-2-000049,977,68.8588945752303,65.62,9.965199590583419
154-2-000017,977,68.21875127942681,62.5,15.254861821903788
155-2-000045,977,67.31811668372569,66.22,24.184237461617194
155-2-000061,977,65.50927328556806,81.08,12.761514841351074
156-2-000035,977,65.0089252814739,64.83,50.73899692937564
152-2-000017,977,64.63040941658137,63.41,14.501535312180144
155-3-000006,977,64.32729785056294,64.49,49.228249744114635
155-2-000062,977,61.70267144319345,74.55,21.063459570112588
155-2-000027,977,61.688454452405324,61.54,4.980552712384852
155-2-000060,977,59.547891504605936,60.0,28.31627430910952
156-2-000067,977,57.793111566018425,56.52,38.83009211873081
155-2-000047,977,57.663664278403274,54.17,20.321392016376663
155-3-000002,977,56.36369498464688,52.73,24.0
156-2-000034,977,56.128393039918116,57.14,36.852610030706245
155-3-000001,977,55.82804503582395,47.22,31.803480040941658
156-2-000032,977,55.612599795291715,55.38,28.851586489252814
155-2-000010,977,54.82878198567042,62.9,28.006141248720574
150-2-000015,977,54.107666325486186,49.18,27.993858751279426
155-1-000108,977,53.97471852610031,60.0,13.807574206755374
155-1-000034,977,52.60419651995906,47.89,33.650972364380756
152-2-000046,977,52.46138178096213,36.36,41.833162743091094
155-2-000059,977,51.44209825997953,32.61,67.01125895598771
155-1-000105,977,51.359529170931424,57.69,37.9396110542477
155-1-000107,977,51.30382804503582,50.85,57.461617195496416
155-1-000106,977,51.06704196519959,55.0,39.14636642784033
151-2-000007,977,50.24982599795292,46.81,23.382804503582395
154-2-000032,977,49.41901740020471,50.0,41.47697031729785
150-2-000002,977,49.356192425793246,44.95,255.75127942681678
156-2-000072,977,48.56318321392017,50.0,13.46878198567042
154-2-000054,977,48.5111361310133,45.57,81.35209825997953
151-2-000048,977,46.66821903787103,46.43,29.871033776867964
152-2-000050,977,46.509242579324464,43.88,52.42272262026612
154-2-000047,977,45.65457523029682,39.33,81.517911975435
155-2-000051,977,45.25510747185261,28.57,72.81064483111567
