statId,statNm,addr,lat,lng,chgerId,chgerType,output,useTime,busiNm,parkingFree,delYn,fetchedAt,lat_f,lng_f,dist_m,complex_id,complex_name,cohort
PIS00563,대구 동구 신천청아람아파트,대구광역시 동구 송라로14길 132,35.8741,128.6221,01,02,7,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8741,128.6221,172.12316868770105,APT2025-03,더센트럴화성파크드림,2025
LU101282,동대구역센트럴시티자이,대구광역시 동구 송라로10길 33,35.8734967,128.6237186,11,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.8734967,128.6237186,200.4797952912946,APT2025-03,더센트럴화성파크드림,2025
PIH01792,대구 동구 벽산이솔렌스힐아파트,대구광역시 동구 장등로 56,35.8724153,128.6242287,05,02,7,24시간 이용가능,GS차지비,N,N,2026-07-25T20:38:50+09:00,35.8724153,128.6242287,218.6119228612451,APT2025-03,더센트럴화성파크드림,2025
CV000952,동대구벤처밸리 기업성장지원센터,대구광역시 동구 동대구로 465,35.872167,128.62477,01,06,50,09:00~18:00,채비,Y,N,2026-07-25T20:38:50+09:00,35.872167,128.62477,270.4460677517292,APT2025-03,더센트럴화성파크드림,2025
CV001396,대구테크노파크 대구벤처센터,대구광역시 동구 동대구로 475,35.872833,128.624825,01,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.872833,128.624825,273.23181001149874,APT2025-03,더센트럴화성파크드림,2025
PW801141,재단법인대구디지털혁신진흥원(T),대구광역시 동구 동대구로 469,35.872142054,128.62483137,02,02,7,24시간 이용가능,파워큐브코리아,Y,N,2026-07-25T20:38:50+09:00,35.872142054,128.62483137,276.3649574356557,APT2025-03,더센트럴화성파크드림,2025
CV003131,대구시_대구테크노파크 동대구캠퍼스 2동,대구광역시 동구 동대구로 481,35.87325,128.624797,01,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.87325,128.624797,279.55837107904443,APT2025-03,더센트럴화성파크드림,2025
CV002169,대구스케일업허브,대구광역시 동구 동대구로 465,35.871777,128.624853,01,02,7,24시간 이용가능,채비,N,N,2026-07-25T20:38:50+09:00,35.871777,128.624853,288.01701440390497,APT2025-03,더센트럴화성파크드림,2025
CV002196,대구경북디자인진흥원,대구광역시 동구 동대구로 461,35.871416,128.624825,03,04,100,24시간 이용가능,채비,N,N,2026-07-25T20:38:50+09:00,35.871416,128.624825,300.4454468533154,APT2025-03,더센트럴화성파크드림,2025
SF003317,대구무역회관 (완속충전기),대구광역시 동구 동대구로 489,35.874208512,128.62482043,00,02,7,09:00~18:00,(주)스타코프,N,N,2026-07-25T20:38:50+09:00,35.874208512,128.62482043,326.75724159782425,APT2025-03,더센트럴화성파크드림,2025
EV006712,대구동구 대구무역회관,대구광역시 동구 동대구로 489,35.874208512,128.62482043,02,02,7,24시간 이용가능,에버온,Y,N,2026-07-25T20:38:50+09:00,35.874208512,128.62482043,326.75724159782425,APT2025-03,더센트럴화성파크드림,2025
CV003071,대구시_대구상공회의소,대구광역시 동구 동대구로 457,35.871083,128.624964,01,06,50,24시간 이용가능,채비,N,N,2026-07-25T20:38:50+09:00,35.871083,128.624964,328.7908675018587,APT2025-03,더센트럴화성파크드림,2025
PL033196,동대구삼환나우빌,대구 동구 동부로 81,35.8757736,128.6210968,01,02,7,24시간 이용가능,플러그링크,N,N,2026-07-25T20:38:50+09:00,35.8757736,128.6210968,361.9737844185946,APT2025-03,더센트럴화성파크드림,2025
PL031999,대구 북구 동대구유성푸르나임아파트,대구 동구 동부로22길 48,35.872502,128.6260826,00,02,7,24시간 이용가능,플러그링크,N,N,2026-07-25T20:38:50+09:00,35.872502,128.6260826,385.0515893808993,APT2025-03,더센트럴화성파크드림,2025
KP000666,동대구유성푸르나임 아파트,대구광역시 동구 신천동 동부로22길 48,35.8724363153,128.6262200222,01,06,50,,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.8724363153,128.6262200222,397.6377148495222,APT2025-03,더센트럴화성파크드림,2025
PI722554,신천휴먼시아6단지아파트,대구광역시 동구 송라로11길 39,35.870912318,128.61729013,10,02,7,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.870912318,128.61729013,447.032266142141,APT2025-03,더센트럴화성파크드림,2025
SF002969,한국건강관리협회 대구지부 (완속충전기),대구광역시 동구 장등로 16,35.86879023,128.62353479,01,02,11,09:00~18:00,(주)스타코프,N,N,2026-07-25T20:38:50+09:00,35.86879023,128.62353479,448.1050710412483,APT2025-03,더센트럴화성파크드림,2025
LU101181,신천두산위브,대구광역시 동구 국채보상로 829,35.8685525,128.6222365,09,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.8685525,128.6222365,448.37557791923746,APT2025-03,더센트럴화성파크드림,2025
HY000753,현대아울렛 대구점,대구광역시 동구 동대구로 454,35.870779,128.626281,11,02,7,10:30 ~ 21:00,현대엔지니어링,N,N,2026-07-25T20:38:50+09:00,35.870779,128.626281,449.3946872928854,APT2025-03,더센트럴화성파크드림,2025
PI708859,신천두산위브B,대구광역시 동구 국채보상로 829,35.868524806,128.62193026,01,02,7,08:00~20:00,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.868524806,128.62193026,449.9355567736973,APT2025-03,더센트럴화성파크드림,2025
HY001691,대구 신천휴먼시아6단지,대구광역시 동구 송라로11길 39,35.870891,128.617188,03,02,7,24시간 이용가능,현대엔지니어링,Y,N,2026-07-25T20:38:50+09:00,35.870891,128.617188,456.39634555089725,APT2025-03,더센트럴화성파크드림,2025
HM000519,동대구반도유보라,대구광역시 동구 송라로16길 11,35.875528732,128.61795627,12,02,7,24시간 이용가능,HUMAX EV,N,N,2026-07-25T20:38:50+09:00,35.875528732,128.61795627,478.33701583420435,APT2025-03,더센트럴화성파크드림,2025
CV002401,동대구역더샵센터시티아파트,대구광역시 동구 동부로19길 18,35.876749,128.623464,01,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.876749,128.623464,487.9959851619896,APT2025-03,더센트럴화성파크드림,2025
PI000239,대구시 동부소방서,대구광역시 동구 동대구로 507,35.8759858474,128.6252252194,01,02,7,24시간 이용가능,GS차지비,,N,2026-07-25T20:38:50+09:00,35.8759858474,128.6252252194,488.83220777741525,APT2025-03,더센트럴화성파크드림,2025
TS271402,청구고등학교,대구광역시 동구 국채보상로 827,35.868361,128.61995,01,02,7,24시간 이용가능,주식회사 태성콘텍,Y,N,2026-07-25T20:38:50+09:00,35.868361,128.61995,497.1228057584935,APT2025-03,더센트럴화성파크드림,2025
LU100103,대구구병원,대구광역시 달서구 감삼북길 141,35.850682,128.541383,02,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.850682,128.541383,240.98795426600458,APT2025-04,이안엑소디움에이펙스,2025
CV001529,빌리브스카이아파트,대구광역시 달서구 와룡로 186,35.849141,128.53825,01,02,7,24시간 이용가능(외부인출입불가),채비,N,N,2026-07-25T20:38:50+09:00,35.849141,128.53825,249.07869205881974,APT2025-04,이안엑소디움에이펙스,2025
PL033046,빌리브 스카이 주상복합,대구광역시 달서구 와룡로 186,35.8497392,128.5380927,00,02,7,24시간 이용가능,플러그링크,N,N,2026-07-25T20:38:50+09:00,35.8497392,128.5380927,286.7841297266677,APT2025-04,이안엑소디움에이펙스,2025
EZ001798,대구광역시교육연수원 본원,대구광역시 달서구 당산로 121,35.8481763,128.544184,02,02,7,24시간 이용가능,(주)차지인,Y,N,2026-07-25T20:38:50+09:00,35.8481763,128.544184,297.52692480039195,APT2025-04,이안엑소디움에이펙스,2025
CV000799,아우디_서대구 전시장(코오롱아우토),대구광역시 달서구 와룡로 170,35.847781,128.537639,01,04,150,09:00~18:00,채비,Y,N,2026-07-25T20:38:50+09:00,35.847781,128.537639,307.34731091263416,APT2025-04,이안엑소디움에이펙스,2025
PI794362,대구 달서구 빌리브죽전,대구광역시 달서구 달구벌대로 1581,35.8514336,128.5396172,02,02,7,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8514336,128.5396172,341.4988311786443,APT2025-04,이안엑소디움에이펙스,2025
HY001776,대구 동화로즈빌,대구광역시 달서구 죽전1길 82,35.84964,128.5372,03,02,7,24시간 이용가능,현대엔지니어링,N,N,2026-07-25T20:38:50+09:00,35.84964,128.5372,356.1639143725594,APT2025-04,이안엑소디움에이펙스,2025
HD000070,대구 서부 오토스퀘어 E-pit,대구광역시 달서구 달구벌대로 1599,35.8520778,128.5413128,01,04,200,24시간 이용가능,현대자동차,Y,N,2026-07-25T20:38:50+09:00,35.8520778,128.5413128,394.107850849729,APT2025-04,이안엑소디움에이펙스,2025
KP000645,월드마크웨스트엔드 아파트,대구광역시 달서구 감삼동 와룡로 169,35.8487328275,128.5363908546,04,02,7,,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.8487328275,128.5363908546,408.2819087397884,APT2025-04,이안엑소디움에이펙스,2025
PWE02546,월드마크웨스트엔드아파트,대구광역시 달서구 와룡로 169,35.84873,128.53639,66,02,3,24시간 이용가능,파워큐브,Y,N,2026-07-25T20:38:50+09:00,35.84873,128.53639,408.34315902481535,APT2025-04,이안엑소디움에이펙스,2025
PW801097,월드마크웨스트엔드입주자대표회의25(T),대구광역시 달서구 와룡로 169,35.8487323,128.5363891,21,02,7,24시간 이용가능,파워큐브코리아,Y,N,2026-07-25T20:38:50+09:00,35.8487323,128.5363891,408.4369098280813,APT2025-04,이안엑소디움에이펙스,2025
HM001647,월드마크웨스트엔드상가,대구광역시 달서구 와룡로 169,35.8487323,128.5363891,04,02,7,24시간 이용가능,휴맥스이브이,Y,N,2026-07-25T20:38:50+09:00,35.8487323,128.5363891,408.4369098280813,APT2025-04,이안엑소디움에이펙스,2025
HM001533,월드마크웨스트엔드,대구광역시 달서구 와룡로 169,35.848732309,128.53638907,01,02,7,24시간 이용가능,휴맥스이브이,Y,N,2026-07-25T20:38:50+09:00,35.848732309,128.53638907,408.4396604931675,APT2025-04,이안엑소디움에이펙스,2025
PW014759,월드마크웨스트엔드입주자대표회의,대구광역시 달서구 와룡로 169,35.848732309,128.53638907,05,02,7,24시간 이용가능,파워큐브,Y,N,2026-07-25T20:38:50+09:00,35.848732309,128.53638907,408.4396604931675,APT2025-04,이안엑소디움에이펙스,2025
PW100764,월드마크웨스트엔드,대구광역시 달서구 와룡로 169,35.848732309,128.53638907,01,02,7,24시간 이용가능,파워큐브코리아,Y,N,2026-07-25T20:38:50+09:00,35.848732309,128.53638907,408.4396604931675,APT2025-04,이안엑소디움에이펙스,2025
PL031985,대구 달서구 죽전역인터불고라비다,대구 달서구 와룡로 148,35.8458545,128.5377,00,02,7,24시간 이용가능,플러그링크,N,N,2026-07-25T20:38:50+09:00,35.8458545,128.5377,416.75644691066515,APT2025-04,이안엑소디움에이펙스,2025
PI802108,성당코오롱하늘채아파트,대구광역시 달서구 장기로 160,35.844377,128.5419372,08,02,7,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.844377,128.5419372,472.8787174994887,APT2025-04,이안엑소디움에이펙스,2025
SF002605,동화로즈빌 (완속충전기),대구광역시 달서구 죽전1길 82,35.8526235,128.5392563,00,02,11,09:00~18:00,스타코프(주)스타코프,N,N,2026-07-25T20:38:50+09:00,35.8526235,128.5392563,477.1756083825083,APT2025-04,이안엑소디움에이펙스,2025
PI700396,칠곡e편한세상,대구광역시 북구 칠곡중앙대로 598,35.948891,128.553639,01,02,7,09시~22시,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.948891,128.553639,158.43724689231644,APT2025-05,화성파크드림구수산공원,2025
EV003987,칠곡e편한세상,대구광역시 북구 칠곡중앙대로 598,35.949567138,128.55337618,08,02,7,24시간 이용가능,에버온,Y,N,2026-07-25T20:38:50+09:00,35.949567138,128.55337618,196.22208304170388,APT2025-05,화성파크드림구수산공원,2025
KE000709,대구SD아이프라임강북103동,대구광역시 북구 칠곡중앙대로125길 7,35.9502922,128.5513526,06,02,7,24시간 이용가능,한국전기차인프라기술,Y,N,2026-07-25T20:38:50+09:00,35.9502922,128.5513526,256.0123725061577,APT2025-05,화성파크드림구수산공원,2025
ME20C286,읍내동 행정복지센터,대구광역시 북구 읍내동 660-2,35.946211,128.550539,21,04,200,24시간 이용가능,기후에너지환경부,Y,N,2026-07-25T20:38:50+09:00,35.946211,128.550539,256.06618968718266,APT2025-05,화성파크드림구수산공원,2025
CV001732,칠곡우방타운아파트,대구광역시 북구 칠곡중앙대로115길 24,35.9477922,128.5491439,04,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.9477922,128.5491439,275.59084027311235,APT2025-05,화성파크드림구수산공원,2025
HY000508,대구 칠곡한서타운,대구광역시 북구 동암로7길 39,35.948887,128.5552953,02,02,7,24시간 이용가능,현대엔지니어링,Y,N,2026-07-25T20:38:50+09:00,35.948887,128.5552953,293.8196853818544,APT2025-05,화성파크드림구수산공원,2025
KE001089,대구북구SD아이프라임강북B1-01,대구광역시 북구 칠곡중앙대로125길 7,35.9509709,128.5519915,02,02,7,24시간 이용가능,한국전기차인프라기술(주),N,N,2026-07-25T20:38:50+09:00,35.9509709,128.5519915,320.7836945459483,APT2025-05,화성파크드림구수산공원,2025
KE000230,대구SD아이프라임강북102동,대구광역시 북구 칠곡중앙대로125길 7,35.9509709,128.5519915,02,02,7,24시간 이용가능,한국전기차인프라기술,Y,N,2026-07-25T20:38:50+09:00,35.9509709,128.5519915,320.7836945459483,APT2025-05,화성파크드림구수산공원,2025
KE001090,대구북구SD아이프라임강북B1-02,대구광역시 북구 칠곡중앙대로125길 7,35.9509709,128.5519915,01,02,7,24시간 이용가능,한국전기차인프라기술(주),N,N,2026-07-25T20:38:50+09:00,35.9509709,128.5519915,320.7836945459483,APT2025-05,화성파크드림구수산공원,2025
HY000509,대구 칠곡한서타운,대구광역시 북구 동암로7길 39,35.9485025,128.5557588,01,02,7,24시간 이용가능,현대엔지니어링,Y,N,2026-07-25T20:38:50+09:00,35.9485025,128.5557588,325.1153355108751,APT2025-05,화성파크드림구수산공원,2025
HY000507,대구 칠곡한서타운,대구광역시 북구 동암로7길 39,35.9490674,128.5556313,02,02,7,24시간 이용가능,현대엔지니어링,Y,N,2026-07-25T20:38:50+09:00,35.9490674,128.5556313,328.85839189015417,APT2025-05,화성파크드림구수산공원,2025
KP001594,sd아이프라임강북,대구광역시 북구 읍내동 칠곡중앙대로125길 7,35.9513690611,128.5518573185,01,06,50,,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.9513690611,128.5518573185,365.77091857768204,APT2025-05,화성파크드림구수산공원,2025
EV011762,대구북구 칠곡3차보성타운 4,대구광역시 북구 칠곡중앙대로126길 7-12,35.951026867,128.55442881,03,02,7,24시간 이용가능,에버온,Y,N,2026-07-25T20:38:50+09:00,35.951026867,128.55442881,384.0455478475199,APT2025-05,화성파크드림구수산공원,2025
