statId,statNm,addr,lat,lng,chgerId,chgerType,output,useTime,busiNm,parkingFree,delYn,fetchedAt,lat_f,lng_f,dist_m
ST600537,달서아이꿈센터,대구광역시 달서구 와룡로51길 25,35.855360926,128.53563474,02,04,30,24시간 이용가능,SK일렉링크,Y,N,2026-07-25T20:38:50+09:00,35.855360926,128.53563474,82.04332402718454
ST600537,달서아이꿈센터,대구광역시 달서구 와룡로51길 25,35.855360926,128.53563474,03,04,30,24시간 이용가능,SK일렉링크,Y,N,2026-07-25T20:38:50+09:00,35.855360926,128.53563474,82.04332402718454
ST600537,달서아이꿈센터,대구광역시 달서구 와룡로51길 25,35.855360926,128.53563474,01,04,30,24시간 이용가능,SK일렉링크,Y,N,2026-07-25T20:38:50+09:00,35.855360926,128.53563474,82.04332402718454
CV003042,대구소방안전본부,대구광역시 달서구 와룡로49길 30,35.8546135,128.5356894,02,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.8546135,128.5356894,119.01409963000344
CV003042,대구소방안전본부,대구광역시 달서구 와룡로49길 30,35.8546135,128.5356894,01,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.8546135,128.5356894,119.01409963000344
KP003444,대성유니드 주유소,대구광역시 달서구 와룡로248,35.8548928444,128.5378203423,01,06,,24시간 이용가능,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.8548928444,128.5378203423,129.94126974621844
DC530008,죽전역에일린의뜰 105동,대구광역시 달서구 와룡로 254,35.855524023,128.53849504,05,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.855524023,128.53849504,176.41286798448064
DC530008,죽전역에일린의뜰 105동,대구광역시 달서구 와룡로 254,35.855524023,128.53849504,03,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.855524023,128.53849504,176.41286798448064
DC530008,죽전역에일린의뜰 105동,대구광역시 달서구 와룡로 254,35.855524023,128.53849504,02,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.855524023,128.53849504,176.41286798448064
DC530008,죽전역에일린의뜰 105동,대구광역시 달서구 와룡로 254,35.855524023,128.53849504,04,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.855524023,128.53849504,176.41286798448064
DC530008,죽전역에일린의뜰 105동,대구광역시 달서구 와룡로 254,35.855524023,128.53849504,01,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.855524023,128.53849504,176.41286798448064
DC530007,죽전역에일린의뜰 103동,대구광역시 달서구 와룡로 254,35.854692101,128.53854261,02,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.854692101,128.53854261,198.25788384856358
DC530007,죽전역에일린의뜰 103동,대구광역시 달서구 와룡로 254,35.854692101,128.53854261,03,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.854692101,128.53854261,198.25788384856358
DC530007,죽전역에일린의뜰 103동,대구광역시 달서구 와룡로 254,35.854692101,128.53854261,04,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.854692101,128.53854261,198.25788384856358
DC530007,죽전역에일린의뜰 103동,대구광역시 달서구 와룡로 254,35.854692101,128.53854261,01,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.854692101,128.53854261,198.25788384856358
DC530009,죽전역에일린의뜰 111동,대구광역시 달서구 와룡로 254,35.856250571,128.53893526,02,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.856250571,128.53893526,234.21493836427803
DC530009,죽전역에일린의뜰 111동,대구광역시 달서구 와룡로 254,35.856250571,128.53893526,04,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.856250571,128.53893526,234.21493836427803
DC530009,죽전역에일린의뜰 111동,대구광역시 달서구 와룡로 254,35.856250571,128.53893526,07,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.856250571,128.53893526,234.21493836427803
DC530009,죽전역에일린의뜰 111동,대구광역시 달서구 와룡로 254,35.856250571,128.53893526,06,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.856250571,128.53893526,234.21493836427803
DC530009,죽전역에일린의뜰 111동,대구광역시 달서구 와룡로 254,35.856250571,128.53893526,08,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.856250571,128.53893526,234.21493836427803
DC530009,죽전역에일린의뜰 111동,대구광역시 달서구 와룡로 254,35.856250571,128.53893526,10,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.856250571,128.53893526,234.21493836427803
DC530009,죽전역에일린의뜰 111동,대구광역시 달서구 와룡로 254,35.856250571,128.53893526,11,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.856250571,128.53893526,234.21493836427803
DC530009,죽전역에일린의뜰 111동,대구광역시 달서구 와룡로 254,35.856250571,128.53893526,09,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.856250571,128.53893526,234.21493836427803
DC530009,죽전역에일린의뜰 111동,대구광역시 달서구 와룡로 254,35.856250571,128.53893526,05,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.856250571,128.53893526,234.21493836427803
DC530009,죽전역에일린의뜰 111동,대구광역시 달서구 와룡로 254,35.856250571,128.53893526,01,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.856250571,128.53893526,234.21493836427803
DC530009,죽전역에일린의뜰 111동,대구광역시 달서구 와룡로 254,35.856250571,128.53893526,03,02,7,24시간 이용가능,대성물류건설(주),Y,N,2026-07-25T20:38:50+09:00,35.856250571,128.53893526,234.21493836427803
PL032109,대구 달서구 죽전그린빌,대구 달서구 와룡로53길 40,35.8569721,128.5342158,07,02,7,24시간 이용가능,플러그링크,N,N,2026-07-25T20:38:50+09:00,35.8569721,128.5342158,270.64866614521816
PL032109,대구 달서구 죽전그린빌,대구 달서구 와룡로53길 40,35.8569721,128.5342158,03,02,7,24시간 이용가능,플러그링크,N,N,2026-07-25T20:38:50+09:00,35.8569721,128.5342158,270.64866614521816
