hour,ticks,days,pct_smooth_mean,pct_slow_mean,pct_jam_mean,pct_congested_mean,speed_mean,speed_median_of_means
0,59,15,87.51,12.0,0.49,12.49,40.09,40.08
1,59,15,89.17,10.49,0.34,10.83,40.83,40.85
2,60,15,90.26,9.27,0.47,9.74,41.4,41.39
3,60,15,91.59,8.24,0.17,8.41,42.0,41.98
4,59,15,92.11,7.64,0.25,7.89,42.27,42.26
5,60,15,91.49,8.24,0.28,8.51,41.85,41.84
6,59,15,88.84,10.59,0.57,11.16,40.59,40.46
7,60,16,82.03,16.51,1.47,17.97,38.3,38.49
8,64,16,66.92,29.06,4.02,33.08,33.93,33.05
9,63,16,65.06,30.48,4.46,34.94,33.34,32.77
10,63,16,62.16,33.12,4.72,37.84,32.62,32.13
11,64,16,60.63,34.0,5.36,39.37,32.4,31.94
12,64,16,61.35,33.56,5.09,38.65,32.63,32.44
13,61,16,60.99,34.36,4.65,39.01,32.45,32.41
14,58,15,59.03,35.72,5.26,40.97,31.88,31.75
15,59,15,58.14,36.04,5.81,41.86,31.57,31.32
16,60,16,55.63,36.92,7.46,44.37,30.9,30.5
17,64,16,52.27,37.96,9.76,47.73,30.08,29.6
18,59,15,50.04,35.26,14.7,49.96,29.18,28.14
19,60,15,63.76,29.96,6.28,36.24,33.08,33.85
20,68,16,72.84,24.9,2.26,27.16,35.25,35.25
21,65,16,76.55,21.52,1.93,23.45,36.21,36.18
22,64,16,79.94,18.84,1.22,20.06,37.25,37.2
23,60,15,85.24,13.81,0.95,14.76,39.08,38.88
