hour,ticks,days,pct_smooth_mean,pct_slow_mean,pct_jam_mean,pct_congested_mean,speed_mean,speed_median_of_means
0,12,3,87.88,11.56,0.55,12.12,40.04,40.1
1,12,3,89.11,10.48,0.41,10.89,40.71,40.76
2,12,3,90.77,8.8,0.43,9.23,41.42,41.35
3,12,3,91.62,8.19,0.19,8.38,41.97,41.97
4,12,3,92.0,7.73,0.27,8.0,42.15,42.15
5,12,3,91.36,8.33,0.32,8.64,41.86,41.9
6,11,3,88.66,10.71,0.63,11.34,40.55,40.52
7,13,4,81.31,16.9,1.79,18.69,38.25,38.61
8,17,4,69.44,26.87,3.69,30.56,34.88,36.65
9,16,4,66.6,29.1,4.3,33.4,33.88,33.38
10,16,4,63.42,32.02,4.56,36.58,32.94,32.14
11,16,4,61.79,32.43,5.79,38.21,32.59,32.42
12,16,4,61.77,32.87,5.36,38.23,32.68,32.86
13,16,4,60.42,33.72,5.85,39.58,32.2,32.44
14,16,4,59.02,35.3,5.68,40.98,31.75,31.51
15,15,4,57.32,36.64,6.04,42.68,31.38,31.31
16,16,5,55.39,36.15,8.46,44.61,30.78,30.61
17,20,5,52.4,37.35,10.25,47.6,30.05,29.84
18,15,4,53.53,32.79,13.68,46.47,30.15,31.28
19,16,4,62.54,30.1,7.36,37.46,32.88,33.99
20,23,5,71.69,26.02,2.28,28.31,35.0,34.99
21,17,4,75.09,22.83,2.08,24.91,35.8,35.75
22,16,4,78.62,20.05,1.33,21.38,36.88,36.72
23,12,3,85.23,13.87,0.9,14.77,39.46,38.92
