matched_id,parking_name,parking_addr,parking_type,parking_spaces,statId,charger_name,charger_addr,limitYn,distance_m,name_match,address_number_match,evidence_grade,evidence
151-1-000043,동촌로42길,대구광역시 동구 방촌동 1072-44,공영,18,PI530295,대구시 동구 영남네오빌1차,대구광역시 동구 동촌로 190,N,69.2,False,False,NEARBY_ONLY,좌표 거리 69.2m · 거리만 가까움: 현장/주소 검토 필요
151-1-000006,국채보상로171길,대구광역시 동구 신천동 149-44,공영,12,PI708859,신천두산위브B,대구광역시 동구 국채보상로 829,Y,69.2,False,False,NEARBY_ONLY,좌표 거리 69.2m · 거리만 가까움: 현장/주소 검토 필요
152-1-000123,평리 금오아파트 서측,대구광역시 서구 평리동 1367-8,공영,10,PI700594,평리4동 행정복지센터,대구광역시 서구 국채보상로46길 37-3,N,69.3,False,False,NEARBY_ONLY,좌표 거리 69.3m · 거리만 가까움: 현장/주소 검토 필요
154-1-000206,옥산로17길,대구광역시 북구 침산동 430-1,공영,7,CV003914,침산제일아파트,대구광역시 북구 옥산로17길 50,Y,69.7,False,False,NEARBY_ONLY,좌표 거리 69.7m · 거리만 가까움: 현장/주소 검토 필요
152-1-000126,평리동 롯데캐슬,대구광역시 서구 평리동 1126-27,공영,22,EV014538,대구서구 평리롯데캐슬아파트 9,"대구광역시 서구 국채보상로 316 (평리동, 평리롯데캐슬)",Y,69.9,False,False,NEARBY_ONLY,좌표 거리 69.9m · 거리만 가까움: 현장/주소 검토 필요
155-1-000016,노변동서우방아파트 서편,대구광역시 수성구 시지동 509,공영,14,PI740689,노변동서우방타운103동,대구광역시 수성구 노변공원로 22,N,69.9,False,False,NEARBY_ONLY,좌표 거리 69.9m · 거리만 가까움: 현장/주소 검토 필요
151-1-000118,안심로59길 (3),대구광역시 동구 각산동 301-3,공영,24,EZ001383,동인1급자동차 정비검사소,대구광역시 동구 안심로59길 19,N,70.1,False,False,NEARBY_ONLY,좌표 거리 70.1m · 거리만 가까움: 현장/주소 검토 필요
154-1-000241,칠성남로30길,대구광역시 북구 칠성동2가 302-114,공영,3,PW015051,대구역 SD아이프라임/(주)목성엔지니어링(SP),대구광역시 북구 칠성남로30길 40,N,70.1,False,False,NEARBY_ONLY,좌표 거리 70.1m · 거리만 가까움: 현장/주소 검토 필요
151-1-000009,대구관광 고등학교 앞,대구광역시 동구 신암동 80,공영,14,ME183058,신암5동주민센터,대구광역시 동구 아양로37길 92,N,70.3,False,False,NEARBY_ONLY,좌표 거리 70.3m · 거리만 가까움: 현장/주소 검토 필요
152-1-000126,평리동 롯데캐슬,대구광역시 서구 평리동 1126-27,공영,22,EV014531,대구서구 평리롯데캐슬아파트 2,"대구광역시 서구 국채보상로 316 (평리동, 평리롯데캐슬)",Y,70.5,False,False,NEARBY_ONLY,좌표 거리 70.5m · 거리만 가까움: 현장/주소 검토 필요
151-2-000028,봉무공원 제1주차장,대구광역시 동구 봉무동 산 139,공영,164,ME19X430,대구봉무공원 주차장,대구광역시 동구 봉무동,N,70.5,False,False,NEARBY_ONLY,좌표 거리 70.5m · 거리만 가까움: 현장/주소 검토 필요
154-2-000032,서변1 공영주차장,대구광역시 북구 서변동 1778,공영,82,CV000549,대구시_무태조야동 행정복지센터,대구광역시 북구 호국로43길 20,N,70.6,False,False,NEARBY_ONLY,좌표 거리 70.6m · 거리만 가까움: 현장/주소 검토 필요
154-1-000294,호암로,대구광역시 북구 칠성동2가 41-8,공영,14,CV001490,대구오페라하우스,대구광역시 북구 호암로 15,N,70.6,False,False,NEARBY_ONLY,좌표 거리 70.6m · 거리만 가까움: 현장/주소 검토 필요
153-1-000097,중앙대로22길,대구광역시 남구 봉덕동 711-3,공영,5,PIH00518,홈빌리지,대구광역시 남구 중앙대로22길 59,N,70.6,False,False,NEARBY_ONLY,좌표 거리 70.6m · 거리만 가까움: 현장/주소 검토 필요
151-1-000073,상공회의소 뒤편3주차장,대구광역시 동구 신천동 107-4,공영,23,CV003071,대구시_대구상공회의소,대구광역시 동구 동대구로 457,N,70.7,False,False,NEARBY_ONLY,좌표 거리 70.7m · 거리만 가까움: 현장/주소 검토 필요
152-2-000011,비산4동 공영주차장,대구광역시 서구 비산동 223-70번지,공영,10,CV004491,대구제일고등학교,대구광역시 서구 국채보상로 384,N,70.7,False,False,NEARBY_ONLY,좌표 거리 70.7m · 거리만 가까움: 현장/주소 검토 필요
152-1-000093,슈퍼섬유융합소재센터 남측,대구광역시 서구 중리동 1086,공영,45,PIH01600,앤시스,대구광역시 서구 당산로69길 17,N,70.7,False,False,NEARBY_ONLY,좌표 거리 70.7m · 거리만 가까움: 현장/주소 검토 필요
155-1-000016,노변동서우방아파트 서편,대구광역시 수성구 시지동 509,공영,14,PI740690,노변동서우방타운106동,대구광역시 수성구 노변공원로 22,N,70.8,False,False,NEARBY_ONLY,좌표 거리 70.8m · 거리만 가까움: 현장/주소 검토 필요
150-1-000150,삼덕네거리 남편 노상유료,대구광역시 중구 동덕로 80,공영,62,PWE03322,대봉태왕아너스아파트,대구광역시 중구 동덕로 55,Y,70.9,False,False,NEARBY_ONLY,좌표 거리 70.9m · 거리만 가까움: 현장/주소 검토 필요
152-1-000126,평리동 롯데캐슬,대구광역시 서구 평리동 1126-27,공영,22,EV014532,대구서구 평리롯데캐슬아파트 3,"대구광역시 서구 국채보상로 316 (평리동, 평리롯데캐슬)",Y,71.0,False,False,NEARBY_ONLY,좌표 거리 71.0m · 거리만 가까움: 현장/주소 검토 필요
151-1-000154,팔공로37길,대구광역시 동구 불로동 1295,공영,21,EZ001386,다해,대구광역시 동구 팔공로 195-1,N,71.0,False,False,NEARBY_ONLY,좌표 거리 71.0m · 거리만 가까움: 현장/주소 검토 필요
