hour,mean_pct,median_pct,ticks,days
0,44.0767433048533,45.54435134129619,30,3
1,40.31933460045749,44.46407687671717,30,3
2,41.83575639976293,44.938722789150816,30,3
3,44.09900150753801,45.71233926499528,30,3
4,46.40468460185749,46.73647160707606,30,3
5,50.301555667088635,48.71179659195238,30,3
6,56.27960154208136,53.9056841497881,30,3
7,71.49420621605722,73.10858070104025,50,6
8,77.23224656564628,78.88513513513513,85,9
9,76.55667920409084,77.76261937244202,55,9
10,77.16174357244945,77.42406670279371,54,9
11,77.39272387845038,76.59252357452073,54,9
12,76.73167571123109,75.15188335358445,53,9
13,75.61959218752703,73.94806276905985,55,10
14,73.72733614531788,72.76249819610655,58,10
15,71.865706689944,71.2094917426888,60,10
16,67.00899418478382,67.01270529903935,53,10
17,63.886065663015174,63.79293081005307,43,9
18,60.82389751835639,61.894142149374034,30,6
19,56.41791531910702,57.036974729261644,30,6
20,49.82591495298546,52.30378249124716,44,9
21,41.69813364274954,38.17857142857143,42,8
22,36.13350110600302,31.62913362255943,32,5
23,35.683213401268375,30.454251637744964,18,2
